evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
160,6.0,100,snappy,latest,mean,82.24552164077758,81.333,82.856,0.55,32773.969399466034,32510.41,33164.06,235.83,1151.49
161,8.0,100,snappy,latest,mean,81.63020949363708,81.155,82.195,0.358,33030.2604363367,32782.69,33243.73,155.18,1158.63
162,0.25,500,snappy,latest,mean,82.45431942939759,81.682,83.043,0.518,32888.357727615636,32766.74,33027.14,112.18,1165.83
163,0.5,500,snappy,latest,mean,81.7347366809845,81.115,82.794,0.682,32997.11053499099,32549.27,33258.42,290.68,1172.98
164,1.0,500,snappy,latest,mean,81.21151752471924,80.846,81.791,0.327,33216.56795455186,32968.02,33371.57,142.69,1180.08
165,2.0,500,snappy,latest,mean,82.2809096813202,81.323,83.508,0.735,32757.81201120313,32235.72,33179.96,316.03,1187.27
166,4.0,500,snappy,latest,mean,81.75604023933411,81.173,82.402,0.43,32977.14223403672,32689.34,33232.51,185.97,1194.42
167,6.0,500,snappy,latest,mean,82.11759185791016,81.071,83.595,0.949,32851.20573856227,32344.06,33264.47,358.24,1201.59
168,8.0,500,snappy,latest,mean,82.20090489387512,80.893,83.095,0.729,32793.757968764374,32422.71,33355.05,310.89,1208.78
169,0.25,1,zstd,latest,mean,84.919553565979,83.77,85.314,0.578,31739.013092658366,31567.91,32214.63,240.12,1216.19
170,0.5,1,zstd,latest,mean,82.84705471992493,81.468,84.547,1.242,32588.913705100917,31911.05,33141.73,509.81,1223.42
171,1.0,1,zstd,latest,mean,82.44835276603699,81.474,83.704,0.744,32841.05657824785,32626.84,33170.93,196.88,1230.63
172,2.0,1,zstd,latest,mean,81.88520603179931,81.728,81.95,0.081,32987.69745481231,32954.02,33062.55,39.49,1237.78
173,4.0,1,zstd,latest,mean,82.91707787513732,82.208,83.769,0.616,32572.84128511179,32200.85,32895.16,267.88,1245.03
174,6.0,1,zstd,latest,mean,82.29472079277039,81.544,82.942,0.553,32820.39778312405,32553.82,33140.87,232.95,1252.22
175,8.0,1,zstd,latest,mean,82.3678373336792,81.983,83.061,0.381,32879.994199680725,32758.36,33118.58,134.87,1259.42
176,0.25,100,zstd,latest,mean,84.91981372833251,83.996,85.465,0.514,31764.615516271588,31542.24,32124.48,206.15,1266.83
177,0.5,100,zstd,latest,mean,83.51417307853698,83.121,83.8,0.222,32541.195382162485,32292.24,32812.1,216.77,1274.12
178,1.0,100,zstd,latest,mean,83.43047499656677,81.865,87.311,1.986,32771.9482417821,32456.42,32982.04,181.76,1281.41
