evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
140,8.0,100,none,latest,mean,71.84074807167053,71.58,72.174,0.195,37863.95518972649,37684.74,38005.31,105.43,891.93
141,0.25,500,none,latest,mean,71.81684303283691,71.436,72.057,0.241,37861.39038793629,37740.3,38053.9,125.76,898.25
142,0.5,500,none,latest,mean,72.00322713851929,71.343,72.538,0.456,37762.02982032046,37459.21,38140.08,252.8,904.58
143,1.0,500,none,latest,mean,71.92229671478272,71.202,72.939,0.64,37820.37876249248,37241.78,38190.71,343.72,910.91
144,2.0,500,none,latest,mean,72.04036979675293,71.615,72.506,0.284,37747.16792888135,37497.62,37983.32,154.89,917.25
145,4.0,500,none,latest,mean,71.88053379058837,71.504,72.431,0.311,37843.17528396018,37534.46,38038.07,171.8,923.57
146,6.0,500,none,latest,mean,71.8282413482666,71.293,72.456,0.38,37868.93903656294,37532.25,38170.22,207.01,929.89
147,8.0,500,none,latest,mean,71.80220055580139,71.602,72.054,0.179,37884.507559509264,37750.32,37983.89,92.54,936.21
148,0.25,1,snappy,latest,mean,71.44900088310241,71.276,71.62,0.115,38047.80081267112,37939.42,38134.39,68.2,942.49
149,0.5,1,snappy,latest,mean,72.11942844390869,71.894,72.464,0.21,37662.78867176278,37483.34,37784.3,111.82,948.84
150,1.0,1,snappy,latest,mean,71.62417387962341,71.457,71.895,0.146,37942.40043334475,37796.02,38038.07,81.04,955.14
151,2.0,1,snappy,latest,mean,71.5820342540741,70.809,71.885,0.401,37976.35858122126,37808.3,38417.67,229.34,961.44
152,4.0,1,snappy,latest,mean,71.85284175872803,71.523,72.234,0.288,37876.75236639973,37616.08,38101.47,193.57,967.76
153,6.0,1,snappy,latest,mean,72.02312159538269,71.202,73.013,0.599,37728.508551394894,37165.01,38203.82,342.2,974.09
154,8.0,1,snappy,latest,mean,71.8477108001709,71.473,72.324,0.32,37815.612337149105,37555.38,38029.59,177.47,980.41
155,0.25,100,snappy,latest,mean,71.77437696456909,71.272,72.511,0.472,37972.97106610745,37671.99,38138.37,174.39,986.73
156,0.5,100,snappy,latest,mean,71.7933358669281,71.015,72.37,0.469,37856.795709834165,37540.51,38289.53,258.32,993.05
157,1.0,100,snappy,latest,mean,71.56792798042298,70.967,72.218,0.408,37982.85793025305,37626.03,38317.62,225.36,999.34
158,2.0,100,snappy,latest,mean,71.77189383506774,71.45,72.137,0.264,37861.90894666784,37647.61,38037.5,150.59,1005.66
